Country,Total_Net_Worth,Name,Industry
Australia,4551,"Scott Farquhar , Mike Cannon-Brookes , Gina Rinehart , Andrew Forrest , Harry Triguboff , Anthony Pratt , Frank Lowy , Ivan Glasenberg , Cliff Obrecht , Melanie Perkins ","[' Services', 'Technology', ' Industrial', ' Technology', ' Commodities', ' Real Estate']"
Sweden,3626,"Stefan Persson , Gustaf Douglas&family , Melker Schorling , Carl Bennet , Antonia Axson Johnson, Frederik Paulsen , Jorn Rausing , Fredrik Lundberg , Martin Lorentzon ","[' Services', 'Retail', ' Diversified', ' Industrial', ' Health Care', ' Technology', ' Real Estate', ' Finance']"
Denmark,3538,"Anders Holch Povlsen&family, Niels Louis-Hansen , Kjeld Kirk Kristiansen, Sofie Kirk Kristiansen, Agnete Kirk Thinggaard, Thomas Kirk Kristiansen","[' Consumer', 'Retail', ' Health Care']"
Mexico,3371,"Carlos Slim , Sara Mota de Larrea&family, Ricardo Salinas , Alberto Bailleres , Juan Beckmann Vidal&family, German Larrea ","[' Commodities', ' Food&Beverage', 'Diversified', ' Diversified']"
Japan,3208,"Tadashi Yanai , Takemitsu Takizaki , Masayoshi Son , Shigenobu Nagamori , Takahisa Takahara , Hiroshi Mikitani ","['Retail', ' Industrial', ' Technology', ' Retail', ' Consumer']"
Taiwan,2897,"Zhang Congyuan , Samuel Yin , Tsai Eng-Meng , Terry Gou , Barry Lam ","['Industrial', ' Diversified', ' Food&Beverage', ' Industrial', ' Technology']"
Italy,2591,"Giovanni Ferrero&family , Leonardo Del Vecchio, Paolo Rocca&family , Silvio Berlusconi , Giorgio Armani ","['Food&Beverage', ' Commodities', ' Media&Telecom', ' Consumer']"
Israel,2286,"Eyal Ofer , Shari Arison , Stef Wertheimer , Idan Ofer ","[' Energy', 'Services', ' Diversified']"
Norway,1873,"Olav Thon , Johan Johannson&family , Andreas Halvorsen ","['Real Estate', ' Retail', ' Finance']"
Korea,1782,"Brian Kim , Jay Y. Lee, Seo Jung-Jin ","['Technology', ' Health Care', ' Diversified']"
South Africa,1726,"Johann Rupert&family , Nicky Oppenheimer , Natie Kirsh ","[' Food&Beverage', 'Diversified', ' Diversified']"
Singapore,1635,"Li Xiting , Forrest Li , Goh Cheng Liang, Gang Ye , Wee Cho Yaw","['Health Care', ' Industrial', ' Technology', ' Finance']"
Spain,1618,"Amancio Ortega , Sandra Ortega Mera","[' Retail', 'Retail']"
Brazil,1477,"Jorge Paulo Lemann, Eduardo Saverin , Jorge Moll&family , Marcel Telles , Carlos Sicupira ","['Food&Beverage', ' Food&Beverage', ' Technology', ' Health Care']"
Georgia,1294,"Mikheil Lomtadze , Bidzina Ivanishvili ","['Finance', ' Diversified']"
UAE,1205,"M A Yusuff Ali, Majid Al Futtaim","['Food&Beverage', ' Real Estate']"
Colombia,1026,"Alejandro Santo Domingo&family, Luis Sarmiento ","['Food&Beverage', ' Finance']"
Cyprus,986,John Fredriksen ,['Industrial']
New Zealand,981,Graeme Hart ,['Finance']
Austria,977,"Dietrich Mateschitz , Johann Graf ","['Food&Beverage', ' Entertainment']"
Malaysia,918,"Robert Kuok , Teh Hong Piow","['Diversified', ' Finance']"
Saudi Arabia,896,"Alwaleed Bin Talal, Mohammed Al Amoudi","[' Energy', 'Diversified']"
Vietnam,862,Pham Nhat Vuong,['Real Estate']
Netherlands,751,"Charlene de Carvalho-Heineken, Frits Goldschmeding ","['Food&Beverage', ' Retail']"
Philippines,735,Manuel Villar ,['Diversified']
Kazakhstan,718,Vyacheslav Kim ,['Finance']
Egypt,687,Nassef Sawiris ,['Industrial']
Ireland,656,"Pallonji Mistry , Patrick Collison , John Collison , John Grayken ","[' Technology', 'Industrial', ' Finance']"
Argentina,643,Marcos Galperin ,['Technology']
Cayman,625,Kenneth Dart ,['Islands']
South Korea,608,Kim Jung-Ju ,['Technology']
Finland,605,Antti Herlin ,['Industrial']
Indonesia,365,"Budi Hartono , Michael Hartono ","['Diversified', ' Diversified']"
Thailand,266,"Charoen Sirivadhanabhakdi , Sarath Ratanavadi ","['Food&Beverage', ' Energy']"
Chile,210,Iris Fontbona&family ,['Commodities']
Nigeria,192,Aliko Dangote ,['Industrial']
Greece,161,Vicky Safra ,['Finance']
Ukraine,111,Rinat Akhmetov ,['Industrial']
Monaco,103,Stefano Pessina ,['Retail']
