Country,Industry,Frequency
World,Technology,87
World,Industrial,57
World,Finance,55
World,Diversified,45
World,Consumer,39
World,Real Estate,33
World,Retail,32
World,Food&Beverage,30
World,Health Care,30
World,Energy,27
World,Media&Telecom,22
World,Commodities,18
World,Services,13
World,Entertainment,10
World, Media&Telecom,1
World,Islands,1
